person	response
대인관계에 회의적이야.	왜 그러세요?
친구가 택시 타다 죽었어. 다 내 책임이야.	어떤 부분에서 자신의 책임을 통감하시나요?
아들이 젊었을 때 해달란 거 다해줬더니 빈털터리이네.	아들에게 많이 해주셨나봐요.
내 건강상태가 너무 싫어.	왜 그러세요?
정말 짜증 나. 내 친구들은 도대체 왜 그런지 모르겠어.	무슨 일 있으신가요?
주위에 사람이 없어.	주위에 사람이 왜 없나요.
일하는 동료한테 실망감을 감출 수가 없어.	어떤 일이신지요?
죽음이 다가와서 억울해.	아픈 곳이 있나요?
입원해 있었는데 자식들이 병원에서 큰 소리 내고 싸워서 당황스러워.	자식들이 병문안을 와서 싸우는 바람에 무척 난처했겠어요.
자식들이 아픈 남편만 간호하고 나한텐 너무 소홀히 해.	그런 일이 있으셨군요. 자식들이 기분을 너무 상하게 하셨나봐요.
요새 친구녀석이 운동을 시작한다고 난리도 아니야.	어떤 운동이요? 같이 운동을 하실 계획인가요?
오늘 건강검진을 했는데 아무 이상이 없다네. 너무 기뻐.	건강하시다니 정말 좋은 소식이네요.
애들이 내 병원비가 부담스러워 날 피하는 것 같아서 슬퍼.	자녀 분들이 피하는 것 같아 속상하시겠어요.
나는 지금까지 주위 사람들의 말에 휘둘려 내 뜻대로 살지 못해서 후회돼. 내가 하고 싶은 것들을 하며 살걸.	본인 뜻대로 살지 못해서 후회하시는군요.
계단 오를 때마다 짜증이 나.	계단을 오르기 힘이 드신가봐요.
혼자 사는 옆집 할머니가 고혈압으로 입원하면서 부탁한 강아지를 돌봐주고 있어.	갑자기 맡겨진 강아지라서 당황스러우시겠어요.
아플 때 누군가 내 곁에 있게 할 방법은 돈밖에 없는 것 같아 너무 슬퍼.	경제력 때문에 곁에 아무도 없는 것 같아서 너무 속상하시군요.
수술비가 많이 나왔는데 아들은 수술비를 지원해 줄 수 있는 돈이 없다고 해.	예상보다 많은 수술비가 나와서 걱정이 많으시겠어요.
오늘 하마터면 연체가 되어 재정 상태가 땅에 떨어질 뻔 해서 놀랐어.	어떤 일이라도 있으셨나요?
헬스장에 운동하러 가면 노인이라고 운동기구에서 잘 안 비켜주는데 화가 나.	다른 사람들이 운동기구를 양보해주지 않아서 화가 나시겠어요.
자식들이 나를 요양원에 맡겼어.	왜 요양원에 보내셨을까요?
이사 가려고 했는데 집이 안 팔려. 당황스럽다.	마음이 답답하시겠어요. 조금만 더 자세히 말해주실 수 있나요?
이제 여기저기 힘들고 아파서 일을 그만두고 싶은데 미래를 생각하면 일해야 한다는 게 짜증이 나.	몸이 아파오고 힘든데 일을 해야 한다면 정말 서러운 마음이 들 것 같아요.
주변에 친구들이 하나도 없어.	친구들이 왜 하나도 없나요.
요즘 우울해서 어디 다니고 싶지도 않은데 친구가 눈치도 없이 계속 나오라고 해서 신경질을 냈어.	많이 우울하셔서 가만히 있고 싶으실 텐데 계속 나오라 하니 짜증나셨겠어요.
백세시대라고 여기저기서 떠들어대는데 대체 백 살까지 살아서 어쩌겠다는 거야?	무슨 말씀이신가요?
그동안 건강을 관리하는 것에 대해 소홀히 한 것이 후회가 돼.	후회감이 드시는군요. 어떤 계기라도 있으셨나요?
병원에 다녀오니까 눈물이 다 나네.	무슨 일 있으셨어요?
몸도 아프고 병원비를 보니까 더 머리가 아픈 것 같아.	몸도 아프신데 병원비를 보고 머리가 많이 아프시군요.
앓아눕기전에 아내가 원했던 근사한 식당에 가자고 했던 말이 떠올라 당황스러워.	근사한 음식점에 함께 가지 못해 미안한 마음이군요
노인네들이랑 모였는데 다들 귀티가 나더라고. 내가 제일 보잘 것 없이 보였어.	스스로가 보잘 것 없이 보여서 너무 힘들었겠어요.
환갑이 넘어서 질환이 생겨서 너무 인생이 부정적으로 보여.	어떻게 하면 좋을까요?
젊어서 고생을 너무 많이 해서 그런지 신부전증이 생겼어.	아 그러시군요. 안타깝네요.
내가 너무 한심스러워.	무슨 일 때문인지 얘기해 주실 수 있어요?
무릎 관절염으로 조심해야하는데 아까 무거운 걸 들 수 있다고 자랑하다가 크게 다쳤는데 스스로가 한심해.	다쳐서 마음이 속상하시겠어요.
평소에 검소했던 생활이 소득이 없는 노년에 안정감을 준 거 같아 다행이야.	지난날의 검소한 생활로 안정감을 얻으셨군요. 기쁘시겠어요.
노년이 되어서 생활비가 부족하니 걱정된다.	생활비 때문에 불안하시겠어요.
만성질환 판정을 받았는데 내가 제대로 치료를 받을 수 있을까?	그런 일이 있으셨군요. 치료를 받지 못할 어떤 사정이 있으세요?
몸이 많이 아픈데 돈이 없어서 병원에 가지 못하고 있어.	그 정도로 돈이 없으신가요.
치료를 받았는데도 눈이 잘 안보이네. 이거 어쩌지. 너무 불안하네. 앞으로 눈이 안보이면 나는 어쩌지.	눈이 잘 안보이셔서 많이 불안하시군요.
무릎관절이 자꾸 말썽이야. 애들 성가시게 하기 싫은데.	무릎이 많이 아프신가요?
건강상태가 많이 좋아졌어.	원래 어디가 안 좋았나요?
버스를 탔는데 기사가 급 출발을 했어. 나를 골탕 먹이려는 것 같아	버스 기사가 그런 행동을 했다니 정말 기분이 나쁘시겠어요.
건망증 때문에 내 물건을 자주 잃어버리니까 너무 짜증 나는 거 있지?	건망증이 심해서 짜증이 나시는군요.
칠순이었는데 가족들이 전화로만 축하를해 줘서 노여운 생각이 많이 들었어.	전화로만 축하해주어 기분이 좋지 않으시군요.
요즘 내 재정상태가 만족스러워.	재정 관리를 열심히 하셨나봐요.
다 큰 아들이 아내와 싸우면 꼭 우리 집으로 와.	아들이 아직도 아내와 다투고 집으로 찾아와서 화나시겠어요.
김 씨 할머니는 내 병을 다 아는 것처럼 이야기해서 짜증나.	상황을 잘 모르면서 이야기하고 다니면 엄청 짜증나겠어요.
밖에서 우리 부부가 금실이 좋아 보인다는 말을 들으면 어딘가 부끄러워.	부부에 대한 칭찬을 듣고 부끄러워하셨군요.
우리 자식들이 언성을 높이며 싸웠어. 아프고 돈 없는 나 때문인 것 같아 속상해.	속상하셨군요. 무엇이 속상함을 느끼도록 만들었나요?
요새 인간관계가 만족스러워.	그렇게 생각하시는 이유가 있으신가요?
환갑에 질환까지 있으니깐 돈 때문에 세상이 부정적이야.	어떻게 하면 좋을까요?
이번에 수술을 받게 되었는데 수술비가 너무 많이 나와서 화가 나.	수술비가 너무 많이 나와서 속상하시겠어요.
퇴직하기 전에 모아놓았던 알토란 같은 통장 잔고가 줄어들어 걱정이야. 	계좌에 잔고가 줄어든다면 어떻게 하는 게 좋을까요?
친구가 나보다 여자친구를 좋아해서 열등감이 느껴지고 짜증나.	친구 문제로 힘드시겠어요.
대출도 없고 모아둔 돈은 병원비와 생활비로 쓸 수 있다니 마음이 편하네.	모아두신 돈을 필요한 곳에 쓸 수 있으셔서 기쁘시겠어요.
요즘 열이나서 제주도 여행을 따라가지 못할거같아.	그래요? 건강이 안좋으셔서 슬프네요.
사회생활을 하다 보면 원만한 대인관계가 어려울 때가 가끔 있지.	대인관계가 어려워 혼란스러운 적이 있으셨나요?
대인관계에 혼란을 느껴.	어떤 면에서요?
아들이랑 내 병에 대해서 얘기하고 있는데 며느리는 우리가 자기 험담하는 줄 아나 봐.	험담한 적이 없는데 오해를 받으셔서 억울하셨군요.
내가 병은 가지고 있었지만 그동안 크게 문제는 없이 살아왔는데 최근 검진 결과에 의하면 심각해지고 있대.	건강 문제가 염려되시는군요.
아내의 대장암 수술비를 아들이 전부 낸대.	아드님이 비용을 전부 대시겠다니 아들을 잘 키우신 보람이 있으실 것 같아요.
옆 병동 사람은 맨날 특식 먹던데 얼마나 돈이 많은걸까?	특식을 먹으려면 돈이 많아야 하나요?
요새 화가 많아졌어.	무슨 일이 있으셨나요?
친한친구가 죽었다는 연락을받았어.	친한친구분이 돌아가셨군요?
저 사람이 죽었으면 하는 내가 미워하는 사람이 있어.	많이 미워하는 분인가요?
은퇴하니 온종일 아무도 연락을 해오지 않아.	직장을 그만두고 자주 오던 연락들이 오지 않아서 서운하신가 봐요.
뇌수술로 말을 더듬게 됐는데 건강할 때 자식들에게 사랑한다 말 한마디 못한 게 너무 후회스럽네.	건강하실 때 자식 분들에게 마음을 제대로 못 전하셔서 슬프시겠어요.
내가 간밤에 너무 아파서 응급실에 가게되어 바로 입원하게되었는데 어느 누구하나 병문안오는 애들이 없어서 속상해	정말  속상하고 화가 나시겠어요
나이가 들어서도 이렇게 돈에 안달하게 될지 몰랐어.	돈이 많이 부족하세요?
나 요즘 대학생 막내 때문에 고민이야.	좀 더 자세히 내용을 알려 주실 수 있나요?
나이 육십이 넘으니 다급해지네.	나이가 들고 다급한 마음이 드시는군요.
나는 아직은 건강에 별문제가 없는데 죽음을 생각하게 되니 우울한 기분이 들 때가 있어.	죽음에 대해 생각하면서 우울감을 느끼고 계시군요.
김 씨가 고혈압에 좋다고 준 영양제가 얼마나 효과가 있을까 하는 생각이 요즘 들어. 약간 회의적이야.	김 씨가 준 영양제에 대해 회의적이시군요. 좀 더 자세히 설명해주시겠어요?
나는 노인이라도 정말 건강하다.	정말 건강하셔서 다행입니다.
항암치료를 받는 나를 간호하는 남편이 힘들어 해	당신이 더 힘든 상황이에요.
아내가 나 몰래 내 인감도장을 가지고 아들에게 은행 대출을 해주었어. 지금 너무 화가 나.	아내가 몰래 아들에게 대출을 해주어서 화가 많이 나셨군요.
자식들이 연이어 결혼을 하게 되면서 챙겨주는 용돈이 점점 줄고 있어.	용돈이 줄고 있어서 서운하시겠어요. 얘기해 보는건 어떨까요?
이런게 섭섭하다니. 나도 나이가 먹었나 보네 허허.	좀 더 자세히 말씀해 주시겠어요?
아내가 내 수술비를 가지고 도망가서 경찰에 신고했는데 아직 연락이 없어 불안해.	수술비를 도둑맞아서 많이 힘드시겠어요.
기대수명 테스트를 병원에서 받았는데 당황스럽네.	결과가 많이 안좋게 나왔나요?
천식이 다시 발병했지만 평생 해온 버스 운전에는 문제가 될 것이 전혀 없다고 자신해.	천식이 있어도 버스 운전에는 문제가 될 것이 전혀 없다고 자신하시는군요.
오늘 아침에도 아내랑 싸웠는데 또 저녁에는 손잡고 산책했어.	그래도 느긋한 산책을 즐길 수 있는 아내분이 있어 행복하시겠어요.
오늘 가스비가 연체 되었다고 전화를 받았어.	그래요? 그래서 내셨나요?
자식들에게 칠순 생일 기념으로 평소 가지고 싶어 한 사륜 오토바이를 선물 받았어.	사륜 오토바이를 선물 받아 기쁘셨겠어요.
천식 때문에 외출할 때 신경쓸 게 많아.	마스크 꼭 쓰고 외출하시죠?
오늘 기분이 좋아.	좋은 일 있으시군요.
아직 아픈 곳은 없지만 혹시 모르니 조바심이 나서 영양제를 챙겨 먹고 있어.	건강을 염려해서 영양제를 챙겨 드시고 계시는군요.
자식들이 모두 내 연락을 안 받아.	자세히 설명해주시겠어요?
주식에 투자했던 퇴직금을 몽땅 날렸어. 절망적이야.	마음이 많이 안 좋으시겠어요.
와이프 모르게 쓴 마이너스 카드빚이 천이백만이 되니 해결방법이 없어 괴로워 죽겠어.	혼자 이자 생각 원금상환 걱정 때문에 많이 괴로워하시는군요. 
병원에 가려면 오늘까지 돈을 구해야 하는데 아무도 내게 돈을 빌려주지 않아 당황스러워.	병원비를 빌릴 수 없어 당황스러우셨군요.
나이 먹어도 마음에 드는 친구가 하나도 없어서 이런 상황이 너무나도 슬퍼.	많이 슬프시겠어요. 왜 마음에 드는 친구가 없으신가요?
어떡하면 좋을까? 나 시한부래.	어떤 병에 걸리셨나요?
의사선생님이 요실금으로 기저귀를 차고 다녀야 한다고 하셔서 슬펐어.	기저귀를 차고 다녀야 한다니 슬프시겠어요.
건강에 민감하게 관리를 해야할까?	건강 관리에 대한 고민이 많으시군요.
내가 노름을 하다가 하나남은 땅을 날려버렸어.	재산을 잃으셨군요.
병원에서 입원중이야.	무슨 일로 입원중이신가요?
집안일 하는 보모가 세탁하는데 너무 부끄럽더라. 거기 내 속옷도 있는데.	보모가 집에서 일한지 얼마나 되었나요?
친구랑 문제가 잘 해결됐어.	어떻게 해결했어요?
친구가 너무 얄미워. 내가 무슨 말만 해도 나를 깎아내리려고 해.	친구의 행동으로 마음이 상하셨겠어요.
오랜만에 친구를 만났는데 말할 때마다 입냄새가 너무 심해서 화낼 뻔 했어.	오랜만에 만난 친구분의 구취가 심해서 화나셨군요. 어떻게하면 친구분의 구취가 완화될 수 있을까요?
만성 호흡기 질환 치료에 드는 비용을 연금 보험으로 해결하고 있어.	연금 보험금을 사용하고 계셔서 다행이지만 한편으로는 속상하시겠어요.
점점 겁이 나. 결국 이렇게 시름시름 앓다가 나는 죽겠지.	왜 그런 걱정을 하세요?
자식들이 일하는데 방해될까 봐 미안해서 병원에 오지 말라고 했지만 사실 보고 싶어.	자녀분들이 보고 싶지만 방해가 될까 염려되어 오지 말라고 하셨군요.
아내가 곧 임종할 것 같다고 하는데 자식들이 아직 오지 않았어. 마음이 급해.	아직 도착하지 않은 자녀분들 때문에 초조하시군요.
현재 은퇴했지만 재정상태는 괜찮은 편이야.	계획을 세워서 준비를 많이 하셨나 보네요?
몸이 계속 아파 병원비를 내느라 노년에 돈이 하나도 없내.	병원비 때문에 돈이 없으시군요.
내가 나이가 드니까 정말 인생이 초초해지기 시작했어.	아 그렇군요 지금 상황이 초조한 모습인군요 . 그럼 어떻게 하면 이겨낼수 있으세요?
길을 지나가는데 교복을 입은 학생들이 내게 용돈을 줄테니 담배와 술을 사다달라고 했어.	어린 친구들에게 굉장히 자존심 상하는 일을 당하셨네요.
나이도 들었는데 이러다 병에 걸리면 어떡하지 걱정이야.	건강이 나빠질까봐 걱정이 많으신가봐요?
환갑 친구들이 나를 너무 무시해서 상처 받았어.	어떻게 하면 좋을까요?
돈이 없으니 외로워.	재정문제로 외로우시군요.
매주 휴일 조기 축구회에 나가는데 요즘 몸이 내 몸 같지 않아. 너무 화가 나.	요즘 몸이 예전 같지 않으셔서 화가 나시는군요. 조금 더 자세히 말씀해 주시겠어요?
내가 암에 걸려서 오래는 못 살 것 같아.	오래 못 살 것 같아서 부정적이시군요.
난 병이 있는데 내 아들은 나보다 돈이 더 소중한가 봐.	아들이 돈을 소중히 생각하는군요. 더 자세히 말씀해주실 수 있으신가요?
남편이 천식에 좋은 차를 계속 타주고 있다.	남편분이 늘 관심을 가지고 필요한 차를 꾸준히 해주셔서 너무 감사 하시겠어요.
다리가 아픈 아내에게 줄 지팡이를 깎고 있는 지금 이 순간이 소중해.	아내를 위한 선물을 준비하는 시간을 소중하게 생각하시는군요.
돈이 없어 눈물이 나네.	많이 힘드시겠어요.
재정에 회의감이 들어.	왜 그러세요?
아들들이 나를 이용해서 돈을 벌려고 한다는 것을 알았는데 배신감이 느껴지네.	아드님 때문에 배신감을 느끼시는군요.
친구를 사귀고 싶어 안달났어.	대인관계에 안달하시는군요.
딸이 돈을 입금하라고 했는데 알고 보니 보이스피싱이었어.	딸이 입금하라고 하는 건 줄 알았는데 보이스피싱이었군요.
노인 자살 비율이 점점 높아지고 있다는 뉴스를 봤더니 나도 우울하다.	노인 자살 비율이 점점 증가하고 있다는 뉴스를 접하고 우울하시군요.
오늘 뭔가 느긋한 것 같아.	왜 그러신가요?
알고 보니 내 동창이 유명한 심장전문의가 되었대. 학창 시절부터 아주 믿음직한 친구였지.	친구분 중 능력 있는 의사가 있다니 부러운걸요.
내 건강상태를 보고 좌절했어.	왜 그러세요?
귀촌을 했는데 마을 사람들이 텃세를 부려.	마을 사람들일로 힘드시겠어요. 아는 사람은 없나요?
당뇨 합병증이 와서 치료비가 많이 드는데 돈 나올 데가 없네.	힘든 질환으로 고생하고 계시네요. 달리 도움 받을 곳은 없으세요?
예순이 넘어도 질투는 여전해지는구만.	그렇게 생각하는 이유가 무엇인가요?
아파서 입원했는데 자식들은 들여다보지도 않아. 내가 돈이 없어서 그런가 봐.	자식들이 병문안을 오지 않아 많이 속상하시겠어요.
건강이 나빠질까봐 조심스러워.	왜 그런 감정이 드셨나요?
갑자기 은퇴했는데 그나마 다행이야.	은퇴를 하셨는데 안도감을 느끼신 이유가 궁금해요.
옆동네 김씨가 갑자기 죽었다네.	많이 놀라셨겠어요.
의사가 술은 절대 먹자 말라했는데 몰래 먹다가 들켜서 혼이 났는데 부끄러워	술 드신 걸 들키셔서 당황스러우시겠어요.
그동안 너무 즐기면서 살았나봐. 미래를 계획했어야 했는데 저축을 안해서 돈이 없어.	앞으로가 많이 걱정되시죠? 다들 말을 안하지만 같은 고민을 갖고 있을거에요.
난 말도 안 했는데 오늘 친척한테 아프냐고 전화 왔더라.	먼저 연락 와서 놀라셨을 것 같아요. 아프진 않으신가요?
어제 내 친구가 암으로 죽었어.	친구분이 돌아가셔서 슬프셨겠어요.
주식이 또 떨어졌어! 내 칠순잔치 할 돈인데.	저런 큰일이네요.
친구가 뉴스만 보면 욕을 하는데 왜 저러는지 모르겠어.	막무가내로 욕만 하는 친구가 이해가 안 되시는군요.
옆집 김 씨는 노후자금을 엄청나게 모았던데 나는 가진 게 하나도 없어.	다른 이에 비해 모아둔 돈이 부족한 것 같다고 생각하시는 군요.
며느리가 매달 용돈을 줘서 약을 꾸준하게 살 수 있어서 다행이야.	며느리가 약값을 지원해줘서 참 좋으시겠어요.
병원비 비싸도 대출까지 받아서 냈는데 서비스를 이런식으로 하다니. 내가 가만두나 봐라.	어떤 서비스를 받으신건가요?
내 주변 사람들은 모두 떠나고 대화를 나눌 상대가 없어 하루 동안 한마디도 하지 못했어.	주변 사람들이 모두 떠나고 대화를 나눌 상대가 없어 외로우시겠어요.
남편이 놀고 있으니까 생활이 불안하네.	남편 때문에 걱정이 많으신가요?
병원 갔다 왔는데 정말 다행이야.	좋은 얘기를 들으셨군요.
나이가 육십 대 후반이 되니 인생이 길어야 이십 년도 남지 않았다는 생각이 들어.	나이가 들어 남은 인생에 관해 고민이시군요.
가족 모여서 식사하는데 아들놈이 젊었을 때 돈 모아두지 뭐했냐고 해서 화가 너무 나서 상 엎었다.	속상하셨겠네요. 무슨 이야기를 하시다가 그런 말이 나온건가요?
나는 정말 잘하는 게 없나 봐. 아내는 뻣뻣한 손으로도 나보다 컴퓨터를 잘 다뤄.	아내 분보다 컴퓨터를 다루지 못해 속상하신가 봐요.
지금까지 담배를 계속 피운 것 때문인지 이따금 폐가 망가진 느낌이 들어.	오랜 시간 흡연을 한 것 때문에 폐 건강이 신경이 쓰이는 것 같네요.
가족들에게 버려진 기분이 들어.	왜 그런 기분이 드세요?
얼마 전 어려웠던 친구가 골프까지 치러 다니던데 어떻게 된 건지 모르겠어.	친구의 갑작스러운 변화가 혼란스러우면서도 부러우시군요.
김치 보내 달라는 딸 때문에 아내가 깁스한 팔로 김치를 담그고 있는데 딸 때문에 화가 나네.	딸 때문에 마음이 좋지 않으시군요.
오늘 아들이 용돈을 두둑이 보내줘서 기뻐.	아들이 용돈을 많이 보내주어서 기쁘셨군요.
아프다는 것을 핑계로 지인들에게 함부로 대한 것 같다는 생각이 들어.	그런 생각을 하셨다니 속상하시겠어요. 지인분들에게 연락을 하실 생각이신가요?
여태 일만 하면서 달려왔더니 내 나이가 어느덧 육십대인데 내 곁에 남은 사람이 하나도 없네.	일만 하느라 주변에 남은 사람들이 없어서 고립된 기분이시겠네요. 억울하시진 않으신가요?
집사람이 나이가 들면서 기억력이 감퇴되도니 알츠하이머라는군	알츠하이머 진단을 받으셨군요 아내분이 걱정되시겠어요
친구들이 하나둘씩 먼 곳으로 가버리니 두렵기도 하고 외로워져.	그러시군요. 매우 안타까우시겠어요.
화나는 일이 있었어. 노인 일자리 센터에서 내가 당뇨가 심해서 일자리를 얻을 수가 없데.	당뇨가 심해 일자리를 얻지 못해서 화가 나셨군요.
오래 살아서 뭐 하겠어.	왜 그런 말씀을 하시는걸까요?
요즘 건망증이 심해진 것 같은데 혹시 치매 증상이 아닌지 걱정이 돼.	건망증이 심해져서 치매에 대한 불안감이 생기셨군요.
요즘 경로당 사람들 때문에 짜증이 나.	무슨 일이 있으셨나요?
정년퇴직 이후 노후준비가 안돼있어 걱정이다.	걱정 되시겠어요.
며느리가 임신했다고 하네. 꽃다발이라도 보내줘야겠어!	며느리의 임신 소식에 마음이 기쁘신 것 같아요.
요즘들어 옆집이 너무 부러워.	요즘 옆집이 많이 부러워하시는군요? 왜 그러시나요?
내가 먼저 요양시설 얘기를 꺼냈는데 자식들이 나를 직접 모시겠다고 반대하네. 다행이야.	말은 그렇게 했지만 기분 좋으셨겠어요.
건강검진 받아야 하는데 나이가 육십이다 보니 조금 주저하게되.	무슨일 이세요? 조금 더 자세히 말씀해 주세요.
다리 수술을 했는데 의사가 수술경과가 좋다고 아내와 간단한 산책은 해도 된다네.	어머 벌써 걸으셔도 된대요?
하나씩 유산을 정리하니 마음이 씁쓸해 지네.	가족들도 마음이 안 좋겠어요.
아파서 병원에 누워있는데 자식들이 싸우는 모습을 보니 더 절망적이야.	엄마가 아픈데 병원에서 싸우는거에요?
요즘 몸 상태가 이전 같지 않네.	좀 더 자세히 말씀해 주실 수 있나요?
건강이 안좋아서 낙담스러워.	건강 문제로 힘드시겠어요.
어머니가 암에 걸렸어. 돌아가시면 어떡하지.	어머님 건강때문에 많이 두려우신가봐요.
내 눈이 이상하게 변했어	눈이 이상하게 변했다구요? 무슨 일인가요?
건강이 나빠져서 가족들한테 고립된 느낌이라 힘들어.	정말 힘들고 속상하시겠어요.
친구들과 연락을 계속하며 살 걸 그랬어. 곁에 아무도 남지 않았네.	친구들과 연락을 끊은 것에 아쉬움이 크신 것 같아요.
친척들이나 친구들 결혼식 축의금 액수 정하는 것처럼 눈치가 보이는 게 없어.	어떤 기준이 있는지요?
친구와의 약속을 지키지 못해서 민망하고 미안해.	친구와의 관계 때문에 걱정이시군요.
나 요즘 너무 외로워. 자식들은 결혼해서 지들 살기 바빠서 전화나 가끔 하지 오지도 않고.	자식들이 보고 싶으실텐데 오지도 않으면 외로우시겠네요.
코로나에 걸리니 세상에 나 혼자인거 같아.	혼자라고 생각하고 계시는군요.
아내에게 돈 관리를 맡겼다가 큰 금액을 소진한 후 내가 관리하는데 회복이 쉽지 않아. 걱정이다.	아내가 큰 금액을 소진해서 속상하시겠어요.
죽음에 대해 생각하면 고립된 느낌이야.	왜 죽음을 생각하세요?
요즘 열등감 때문에 친구들도 만나고 싶지 않아.	친구들에게 열등감을 느끼고 계시는군요.
지금 내 주변에 있는 사람들을 볼때마다 나는 잘 살아왔다는 생각이 들어.	주변에 좋은 분들이 많으신가봐요.
동생이 또 돈을 보내줬어. 참 좋은 동생을 둔 것 같아서 감사한 마음이야.	또 돈을 보내주다니 정말 좋은 동생을 두신 것 같아요.
그 할머니에게 잘해주려고 해도 못들은 척해.	상대방이 마음을 못알아주면 너무 속상하죠.
재정적으로 많이 불안해.	왜 그러세요?
식단 조절할 만큼 형편이 좋지 않아서 당뇨에 안 좋은 음식도 먹게 돼서 힘들어..	많이 힘이드셨군요.
안부는 묻지도 않고 돈이 필요할 때만 연락하는 자식들에게 환멸을 느껴.	무척 속상하시겠어요.
군대에 갔던 손자가 전역해서 얼마 전 병원에서 퇴원한 나를 찾아와 줘서 감동했어.	손자가 찾아와서 감동하셨군요.
몇 년에 걸친 항암치료에도 내가 안심할 수 있는 이유가 뭔지알아?	무엇때문에 안심할 수 있나요?
친구때문에 충격받았어.	왜 그러세요?
그렇게 날 구박하더니 병에 걸렸구나. 꼴 좋다.	누구 말씀하시는 건가요?
경로당 청소를 다 같이 해서 금방 끝낼 수 있었어.	경로당 청소를 다 같이 한 적이 처음인가요?
그 사람이 내 말을 악의적으로 받아치네.	상황을 알 수 있을까요?
나는 수많은 노인 중 한 명일뿐 아무런 쓸모가 없어.	수많은 노인 중 한 명일뿐 쓸모가 없다고 생각해서 슬프시겠어요. 우울하시고.
딸이 와서 손주를 봐 달라는데 너무 힘이 드네.	딸의 부탁이 버거우셨군요.
만성기침이 잦아져서 우울해.	만성기침이 잦아져서 우울하시군요.
연초에는 백내장 수술을 했고 봄 여름은 임플란트 시술하느라 병원 다니고 힘들게 산다.	어르신 힘내세요. 올해 계속 여러 병원 치료받으시면서 힘드셨나 봅니다.
암진단을 받았어.	갑자기 받으신건가요?
나이 먹고 만성질환은 없지만 돈도 없어.	돈이 없으시군요.
아픈 것도 서러운데 돈 없는 나를 가족들조차 외면하니까 화가나.	가족들에게 실망하셨군요.
내 친구가 자꾸 내 앞에서 담배를 피우는 게 너무 악의적인 게 느껴져 화가 나.	악의적인 것 같은 행동에 화가 나셨군요.
내가 고향인 광주에 있을 때보다 여기에서 더 친구가 많아.	여기에서 친구가 많아서 기쁘시겠어요.
삼 개월 전에 치주염이란 걸 치료를 하고 이번에 스케일링을 하니 상쾌하더라고.	상쾌해져서 만족스러우셨겠어요.
아내가 놀러 다니는데 쓰는 돈이 내 병원비만큼 나와서 화가 나.	아내의 돈 씀씀이 때문에 화가 나시겠어요.
돈을 빌려준 다는 친구가 한 명도 없어.	무슨 일이세요? 좀 더 자세히 말씀해주시겠어요?
아들 녀석에게 전화하고 오는 길이야.	무슨 말을 하셨나요?
모임 친구들이랑 만나기로 한 장소가 술집이라 간 때문에 금주중인 나는 한모금도 입에 댈 수 없어서 화가 났어.	금주중이라서 같이 마실 수 없어서 화가 나셨군요.
건강 생각하면 너무 외로워.	왜 그러세요?
우리 동네 노인들은 내가 사기를 치고 다녔다는 헛소문을 믿고 있어서 충격을 받았어.	사기를 치지도 않으셨는데 상처 받았겠어요.
친구가 운동 열심히 해서 멋진 몸을 만드었다고 자랑이네.	건강을 잘 관리할줄 아는 친구분이시네요.
왜 연락을 안 받지.	무슨 일 있으세요.
아들이 내 폐암 치료비를 내주지 못해서 미안하다고 눈물을 보였어. 마음이 아파.	아들이 치료비를 내주지 못 해 우는 모습을 보셨군요. 많이 속상하셨겠어요.
내가 천식에 걸린 지 오래 됐잖아. 그래서 마스크를 쓰고 나가는데 기침 할 때마다 밖에서 눈치가 보여.	아 요즘 코로나 바이러스 때문에 그러시죠?
정년퇴직하고 만성질환에 시달려.	많이 힘드신가요.
김 씨 할머니가 죽었대.	충격이 크시겠어요.
오늘 남편이 죽었어.	슬픔이 크시겠어요.
며칠 전에 친구가 갑자기 병원에 입원했어.	많이 놀라셨겠어요.
누나가 내 보험금을 가져가서 가방을 샀지 뭐야. 난 암에 걸렸는데 앞으로 진료비가 걱정이야.	누나가 보험금을 가져가셨군요. 많이 슬프시겠어요.
부모님이 남겨주신 유산이 아니었다면 이 정도로 성공하지 못했을 것 같아서 너무 감사해.	그러셨군요. 많이 감사할 것 같아요.
딸이 연락이 너무 없네.	딸이 연락이 없어 속상하시겠어요.
사람이 죽을때 그 동안 살아온 인생이 스쳐지나간다더라.	님은 죽는 순간 어떤 생각을 하실 것 같나요?
내가 골다공증을 앓고 있는데 치료할 돈이 없어서 대출을 받아야 해. 너무 마음이 힘들다.	질병과 재정 문제로 마음고생이 심하시겠어요.
내가 오랫만에 길을 걷고 있는데 기억하기도 싫은 윤할머니가 뒤에서 아는 척을 하더라구.	그렇군요. 마주치기 싫으셨을텐데.
병원에 입원해 있는데 같은 병실에 있는 동기가 죽었어.	같은 병실에 계시는 친구 분이 돌아가셨군요.
옆에 맨날 이야기 하던 친구가 먼저 가버렸어	친구를 잃으셔서 정말 속상하시겠어요. 괜찮으신가요?
운동해야 하는데 발을 다쳐서 운동을 못 가.	운동하러 못 가신다니 속상하시겠어요.
입원 중인데 손주들이 빨리 나으라고 편지 보내준 게 얼마나 기특한지 기뻤어.	손주들이 손편지를 써줘서 큰 감동 받으셨겠어요.
요즘 보이스피싱이 많아져서 두렵네.	보이스피싱 때문에 짜증이 나시겠어요.
손주들에게 멋진 할머니가 되고싶어서 장난감을 많이 사줬어.	그러셨군요. 어떤 것이 고민이세요?
회사에서 계약을 성사시켰어.	축하드려요. 중요한 계약이었나요?
